CO_CNES,CO_UNIDADE,CO_UF,CO_IBGE,NU_CNPJ_MA,NO_RAZAO_S,NO_FANTASI,CO_NATUREZ,DS_NATUREZ,TP_GESTAO,CO_NIVEL_H,DS_NIVEL_H,CO_ESFERA_,DS_ESFERA_,CO_ATIVIDA,TP_UNIDADE,CO_CEP,NO_LOGRADO,NU_ENDEREC,NO_BAIRRO,NU_TELEFON,NU_LATITUD,NU_LONGITU,CO_TURNO_A,DS_TURNO_A,NU_CNPJ,NO_EMAIL,CO_NATUR_1,ST_CENTRO_,ST_CENTR_1,ST_CENTR_2,ST_ATEND_H,ST_SERVICO,ST_ATEND_A,CO_MOTIVO_,CO_AMBULAT,id_ordem,leitos
2232,2800300002232,28,280030,,ASSOCIACAO ARACAJUANA DE BENEFICENCIA,HOSPITAL SANTA ISABEL,,,E,,,E,ESTADUAL,3,5,49072720,SIMEAO SOBRAL,1312,DEZOITO DO FORTE,79 32124900,-10.5921128,-36.9416223,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13025507000141,dirclin.hsi2023@gmail.com,3999,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,,SIM,0,166
2275,2800300002275,28,280030,,HOSPITAL SAO JOSE,HOSPITAL SAO JOSE,,,M,,,M,MUNICIPAL,4,5,49065000,AV JOAO RIBEIRO,846,SANTO ANTONIO,79 2105-1000,-10.90192885,-37.05487473,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13016621000105,,3999,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,1,113
2283,2800300002283,28,280030,,FUNDACAO DE BENEFICENCIA HOSPITAL DE CIRURGIA,HOSPITAL DE CIRURGIA,,,E,,,E,ESTADUAL,4,5,49055210,AV DESEMBARGADOR MAYNARD,174,CIRURGIA,7921067312,-10.91848002,-37.07058549,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13016332000106,direcao@fbhc.org.br,3999,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,2,263
2372,2800300002372,28,280030,13128780000878,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,HOSPITAL MUNICIPAL ZONA SUL DES FERNANDO FRANCO,,,M,,,M,MUNICIPAL,4,5,49030290,AV TARCISIO DANIEL,1,FAROLANDIA,(79) 32120503,-10.97481177,-37.07453196,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1244,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,3,15
2534,2800300002534,28,280030,,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES EBSERH,HOSPITAL UNIVERSITARIO DE SERGIPE HUSE,,,M,,,M,MUNICIPAL,1,5,49060025,CLAUDIO BATISTA,505,PALESTINA,61 32558365,-10.8956986,-37.05971281,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",15126437001034,afonso.sousa@mec.gov.br,2011,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,4,107
2585,2800300002585,28,280030,,SAO LUCAS MEDICO HOSPITALAR S A,HOSPITAL SAO LUCAS,,,M,,,M,MUNICIPAL,4,5,49015400,STANLEY SILVEIRA,33,SAO JOSE,,-10.9238671,-37.0549436,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13131370000100,,2054,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,NAO,5,159
2420120,2805402420120,28,280540,13114004000142,SECRETARIA MUNICIPAL DE SAUDE DE POCO REDONDO,HOSPITAL MUNICIPAL ZULMIRA SOARES,,,M,,,M,MUNICIPAL,4,5,49810000,RUA ALTO DO GADO MANSO,S/N,LIDIA SOUZA CRUZ,(79)3337-1308,-9.80579021,-37.6842131,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",,,1244,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,,SIM,6,13
2421488,2800202421488,28,280020,,FUNDACAO MEDICA SANTA CECILIA,FUNDACAO MEDICA SANTA CECILIA,,,E,,,E,ESTADUAL,4,5,49790000,AV LEONOR BARRETO FRANCO,370,CENTRO,(79)3341 1364,-10.27455269,-37.01304674,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",5977636000101,,3069,falso,falso,falso,falso,verdadeiro,verdadeiro,,SIM,7,22
2421518,2803502421518,28,280350,,ASSOCIACAO HOSPITALAR DE SERGIPE,HOSPITAL NOSSA SENHORA DA CONCEICAO,,,E,,,E,ESTADUAL,4,5,49400000,RUA HIPOLITO SANTOS,S/N,CENTRO,31421771,-10.913054,-37.673238,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13366414000180,faturamento.producao@ahs.org.br,3999,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,8,42
2421542,2804502421542,28,280450,13128798001680,SECRETARIA DE ESTADO DA SAUDE DE SERGIPE,HOSPITAL REGIONAL GOV JOAO ALVES FILHO,,,E,,,E,ESTADUAL,4,5,49680000,AV VINTE E SEIS DE SETEMBRO 121,121,SILOS,(79)3411-1335,-10.20865,-37.40523,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1236,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,,SIM,9,46
2423529,2802102423529,28,280210,,ASSOCIACAO BENEFICENCIA AMPARO DE MARIA,HOSPITAL AMPARO DE MARIA,,,E,,,E,ESTADUAL,4,5,49200000,DR JESSE FONTES,197,CENTRO,(79)3522-8122,-11.2687,-37.4421,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13258637000124,,3999,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,,SIM,10,54
2444259,2800302444259,28,280030,,HOSPITAL RENASCENCA SA,HOSPITAL RENASCENCA,,,E,,,E,ESTADUAL,4,5,49050370,GONCALO ROLEMBERG LEITE,1490,SALGADO FILHO,,-10.91456112,-37.06070423,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",13175690000161,,2054,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,11,59
2477661,2802902477661,28,280290,,FUNDACAO HOSPITALAR DE SAUDE,HOSPITAL DR PEDRO GARCIA MORENO FILHO,,,M,,,M,MUNICIPAL,4,5,49500001,13 DE JUNHO,796,CENTRO,79 32179661,-10.69428598,-37.42784546,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",10436979000956,,1260,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,12,86
2477947,2805902477947,28,280590,,ASSOCIACAO BENEF HOSPITAL DE CARIDADE DE RIACHUELO,HOSPITAL DE RIACHUELO,,,E,,,E,ESTADUAL,4,5,49130000,RUA PADRE PADILHA,S/N,CENTRO,(79)999432403,-10.728833,-37.188314,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",32728420000185,,3999,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,,NAO,13,50
2503824,2803502503824,28,280350,,ASSOCIACAO DE ASSISTENCIA E PROTECAO A MATERNIDADE E A IN FA,HOSPITAL MATERNIDADE ZACARIAS JUNIOR,,,E,,,E,ESTADUAL,4,5,49400000,HIPOLITO SANTOS,50,CENTRO,,-10.91269,-37.67248,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",16457053000176,zacariasjunior@maternidadelagarto.com,3999,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,,SIM,14,30
2545829,2806702545829,28,280670,,HOSPITAL E MATERNIDADE NOSSO SENHOR DOS PASSOS,HOSPITAL E MATERNIDADE NOSSO SENHOR DOS PASSOS,,,E,,,E,ESTADUAL,4,5,49100113,AVENIDA PAULO BARRETO DE MENEZES,S/N,CENTRO,(79)32611441,-11.01152,-37.19978,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13092374000126,,3999,verdadeiro,falso,verdadeiro,verdadeiro,verdadeiro,verdadeiro,,SIM,15,41
2546027,2802902546027,28,280290,,HOSPITAL E MATERNIDADE SAO JOSE,HOSPITAL E MATERNIDADE SAO JOSE,,,M,,,M,MUNICIPAL,4,5,49500970,RUA JACKSON DE FIGUEIREDO,401,CENTRO,(79) 34312290,-10.68976764,-37.42694839,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13002704000145,msjose@infonet.com.br,3999,verdadeiro,verdadeiro,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,16,15
2546124,2803002546124,28,280300,,HOSPITAL SAO LUIZ GONZAGA,HOSPITAL SAO LUIZ GONZAGA,,,M,,,M,MUNICIPAL,4,5,49290000,PCA ORLANDO FERREIRA ALVES,101,CONVENIENCIA,(79) 79999302470,-11.27576548,-37.78977156,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13098041000104,hospital.saoluizgonzaga@gmail.com,3999,falso,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,,SIM,17,24
2658496,2800302658496,28,280030,,SAO MARCOS HOSPITALAR LTDA,PRONTO CLINICA SAO MARCOS PRONTO SOCORRO PARTICULAR,,,M,,,M,MUNICIPAL,4,5,49015460,RUA CAMPO DO BRITO,1000,SAO JOSE,79 21064862,-10.92518731,-37.04792275,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",15592785000106,qualidade.nsp@hospital.unimedse.coop.br,2062,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,NAO,18,117
2658542,2801202658542,28,280120,13120225000123,PREFEITURA MUN DE CANINDE DE SAO FRANCISCO,HOSPITAL HAYDEE CARVALHO LEITE SANTOS,,,M,,,M,MUNICIPAL,4,5,49820000,AV HAYDDE DE CARVALHO,S/N,CENTRO,(79) 3461950,-9.661761596,-37.79067278,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,secsaudecaninde@gmail.com,1244,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,,SIM,19,10
2745259,2801302745259,28,280130,,ASSOCIACAO DE CARIDADE DE CAPELA,HOSPITAL SAO PEDRO DE ALCANTARA,,,E,,,E,ESTADUAL,4,5,49700000,ADROALDO CAMPOS,68,CENTRO,32631434,-10.5083912,-37.0567144,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13911698000149,assocaridadecapela01@gmail.com,3999,falso,falso,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,20,38
2816210,2800302816210,28,280030,13128798001680,HOSPITAL GOVERNADOR JOAO ALVES FILHO,HOSPITAL GOVERNADOR JOAO ALVES FILHO,,,E,,,E,ESTADUAL,3,5,49095000,AVENIDA TANCREDO NEVES,7501,CAPUCHO,(79)32162600,-10.91374,-37.09051,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,cadiweb.huse@saude.se.gov.br,1236,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,21,603
3225798,2800303225798,28,280030,,INSTITUTO RODOLFO NEIROTTI DE GERENCIAMENTO E PESQUISA LTDA,HOSPITAL DO CORACAO,,,E,,,E,ESTADUAL,4,5,49015220,RUA CAMPOS,75,SAO JOSE,(79)21065500,-10.921614,-37.0541262,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",3222051000156,,2062,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,22,38
3277755,2800303277755,28,280030,,SEMPREVIVA HOSPITAL E MATERNIDADE LTDA EPP,SEMPREVIVA HOSPITAL E MATERNIDADE,,,M,,,M,MUNICIPAL,4,5,49050020,AV DOUTOR JOSE CALUMBY,280,SUISSA,(79)30229600,-10.9247239,-37.06262355,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",74030891000165,adm@hospitalsempreviva.com.br,2062,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,NAO,23,16
3559629,2805703559629,28,280570,13128798001680,SECRETARIA DE ESTADO DA SAUDE DE SERGIPE,HOSPITAL REGIONAL SAO VICENTE DE PAULA,,,E,,,E,ESTADUAL,4,5,49900000,RUA ELMIRO COSTA,S/N,FERNANDES,(79) 3322-6500,-10.214201,-36.844493,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,hospitalregionaldepropria@gmail.com,1236,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,,SIM,24,47
3841375,2800303841375,28,280030,13128780000878,SECRETARIA MUNICIPAL DE SAUDE DE ARACAJU,HOSPITAL MUNICIPAL ZONA NORTE DR NESTOR PIVA,,,M,,,M,MUNICIPAL,4,5,49072000,AV MARANHAO,S/N,18 DO FORTE,(79)3212-0401,-10.90452322,-37.06724743,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1244,falso,falso,falso,falso,verdadeiro,verdadeiro,,SIM,25,23
4966279,2800304966279,28,280030,13128798001680,ESTADO DE SERGIPE,HOSPITAL DO CANCER DE SERGIPE,,,E,,,E,ESTADUAL,4,5,49095000,RUA QUINZE,S/N,CAPUCHO,,-10.9136,-37.0916,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1236,verdadeiro,falso,falso,verdadeiro,falso,verdadeiro,,NAO,26,112
5129753,2804805129753,28,280480,13128798001680,SECRETARIA DE ESTADO DA SAUDE DE SERGIPE,HOSPITAL REGIONAL JOSE FRANCO SOBRINHO,,,E,,,E,ESTADUAL,4,5,49156226,AVENIDA PRINCIPAL,S/N,MARCOS FREIRE II,(79)32792700,-10.85064151,-37.06924542,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,HSOCORRO.NF@SAUDE.SE.GOV.BR,1236,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,verdadeiro,,SIM,27,26
6003494,2800306003494,28,280030,,REDE PRIMAVERA ASSISTENCIA MEDICA HOSPITALAR LTDA,REDE PRIMAVERA HOSPITAL PRIMAVERA,,,M,,,M,MUNICIPAL,4,5,49026010,MINISTRO GERALDO BARRETO SOBRAL,2277,JARDINS,79 21052500,-10.94998562,-37.06496929,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",13356779000124,SETORFISCAL@REDEPRIMAVERA.COM.BR,2062,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,NAO,28,203
6137040,2800306137040,28,280030,,HAPVIDA ASSISTENCIA MEDICA S A,HOSPITAL GABRIEL SOARES,,,M,,,M,MUNICIPAL,4,5,49015110,ITABAIANA,690,SAO JOSE,85 40023633,-10.92001807,-37.05031872,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",63554067020890,FISCAL@HAPVIDA.COM.BR,2054,verdadeiro,verdadeiro,falso,verdadeiro,falso,verdadeiro,,NAO,29,16
6490581,2801306490581,28,280130,13119961000161,MUNICIPIO DE CAPELA,HOSPITAL GERAL DE REF CIRURGICAS N SRA DA PURIFICACAO,,,M,,,M,MUNICIPAL,4,5,49700000,D,S/N,CENTRO,79 33028113,-10.5084462,-37.06091881,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1244,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,30,30
6568343,2803506568343,28,280350,,EMPRESA BRASILEIRA DE SERVICOS HOSPITALARES EBSERH,HOSPITAL UNIV MONSENHOR JOAO BATISTA DE CARVALHO DALTRO,,,E,,,E,ESTADUAL,1,5,49400000,AVENIDA BRASILIA,S/N,NOVO HORIZONTE,3632 2000,-10.9214139,-37.6629083,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",15126437003169,bianca.leal@ebserh.gov.br,2011,verdadeiro,falso,falso,verdadeiro,verdadeiro,verdadeiro,,SIM,31,131
6695604,2807106695604,28,280710,13128798001680,SECRETARIA ESTADUAL DE SAUDE DE SERGIPE,HOSPITAL PEDRO VALADARES,,,E,,,E,ESTADUAL,4,5,49480000,RUA JULIO MANOEL DE OLIVEIRA,S/N,CENTRO,(079) 3209-8561,-10.7381374,-37.8118118,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,hppsimaodias@hotmail.com,1236,falso,falso,falso,falso,verdadeiro,verdadeiro,,SIM,32,19
