MEAN_X,MEAN_Y,ID_divisao,id_ordem
-37.18694379,-10.35944968,280190005_.,0
-37.13760747,-10.87396827,280480517_2804805002,1
-36.83519673,-10.69172174,280530705_.,2
-36.96379414,-10.39228319,280430005_.,3
-37.1398465,-10.84924884,280480505_.,4
-37.62092826,-11.14764686,280067005_2800670001,5
-37.61097826,-11.14296019,280067005_2800670003,6
-37.62124248,-11.14276483,280067005_2800670002,7
-37.60895174,-11.13637751,280067005_2800670005,8
-37.61773443,-11.15085606,280067005_2800670004,9
-37.5999951,-11.14030598,280067005_2800670007,10
-36.80835576,-10.43661065,280340105_.,11
-37.60569875,-11.12790592,280067005_2800670006,12
-36.88316461,-10.55221803,280330205_.,13
-37.27103326,-10.07743982,280240315_.,14
-38.04645706,-10.90728901,280740210_.,15
-37.16511132,-10.80227394,280360905_.,16
-37.12194723,-10.84957258,280480505_2804805003,17
-37.07139226,-10.83638338,280480518_.,18
-37.21150957,-10.72428288,280590105_.,19
-37.07500292,-10.85756372,280480518_2804805005,20
-37.08068292,-10.8331448,280480518_2804805004,21
-37.0931258,-10.84311773,280480519_2804805514,22
-37.05552972,-10.83731165,280480518_2804805007,23
-37.07667959,-10.83796568,280480518_2804805006,24
-37.07134181,-10.8315486,280480518_2804805008,25
-37.43171274,-10.70379852,280290805_2802908009,26
-37.42041224,-10.71297532,280290805_2802908008,27
-37.14783217,-10.91133617,280480512_.,28
-36.99711444,-10.77012396,280660205_.,29
-37.45335506,-10.66488548,280290805_2802908010,30
-37.43615717,-10.68949898,280290805_2802908012,31
-37.18809099,-10.87639159,280480506_.,32
-37.44769704,-10.67805772,280290805_2802908011,33
-37.43159633,-10.69559007,280290805_2802908014,34
-37.41315272,-10.68624735,280290805_2802908013,35
-37.0945305,-10.85932258,280480519_2804805506,36
-37.43904102,-10.67385856,280290805_2802908015,37
-37.08447632,-10.85879776,280480519_2804805509,38
-37.61682779,-10.31202245,280140510_.,39
-37.50470472,-10.34240584,280445805_.,40
-36.87987961,-10.20589826,280730305_.,41
-37.42346096,-10.21684992,280450805_2804508010,42
-37.41233622,-10.21394872,280450805_2804508012,43
-37.11463153,-10.92531589,280670105_2806701010,44
-37.41541561,-10.69469852,280290805_2802908001,45
-37.4317818,-10.21146554,280450805_2804508011,46
-37.20279117,-11.02021284,280670105_2806701012,47
-37.42723493,-10.6857146,280290805_2802908003,48
-37.1089429,-10.92341539,280670105_2806701011,49
-37.41441351,-10.6764339,280290805_2802908002,50
-37.11156243,-10.94914423,280670105_2806701014,51
-37.42559417,-10.67807901,280290805_2802908005,52
-37.13163799,-10.93348773,280670105_2806701013,53
-37.44334648,-10.6924874,280290805_2802908004,54
-37.41834235,-10.70097425,280290805_2802908007,55
-37.42768732,-10.67229422,280290805_2802908006,56
-37.3977519,-9.928847805,280560405_.,57
-37.1105309,-11.04118536,280030805_.,58
-37.09261516,-10.8600905,280480519_.,59
-37.33098305,-10.78046709,280050605_.,60
-37.60078942,-11.26801773,280040705_.,61
-37.43258721,-11.27231869,280210605_2802106010,62
-38.00649672,-11.12894776,280740205_.,63
-37.4240906,-11.24033905,280210605_2802106011,64
-37.15729996,-10.11301122,280310405_.,65
-37.72097892,-9.865899461,280540605_.,66
-37.39741,-10.21586128,280450805_2804508001,67
-37.67962524,-10.63724674,280500005_.,68
-37.42222035,-10.21738201,280450805_2804508003,69
-37.2055441,-11.01369284,280670105_2806701001,70
-37.4164993,-10.21108426,280450805_2804508002,71
-37.11622183,-10.84187614,280480513_.,72
-37.40152571,-10.21113968,280450805_2804508005,73
-37.12266705,-10.92944976,280670105_2806701003,74
-37.39987276,-10.21036718,280450805_2804508004,75
-37.21399159,-11.00547413,280670105_2806701002,76
-37.4139962,-10.21383425,280450805_2804508007,77
-37.28827688,-10.66670967,280390605_.,78
-37.12634742,-10.94059624,280670105_2806701005,79
-37.42546713,-10.22263954,280450805_2804508006,80
-38.14880509,-10.74856104,280550505_.,81
-37.22707473,-11.00839574,280670105_2806701004,82
-37.43077565,-10.21741449,280450805_2804508009,83
-37.11590399,-10.93936231,280670105_2806701007,84
-37.42541816,-10.2055791,280450805_2804508008,85
-37.21074817,-10.9996102,280670105_2806701006,86
-37.19792677,-11.004723,280670105_2806701009,87
-37.10006075,-10.93939189,280670105_2806701008,88
-36.62936036,-10.33305056,280440905_.,89
-37.6585418,-11.39583645,280760005_.,90
-37.11212793,-10.87401941,280480507_.,91
-37.43556284,-11.2576101,280210605_2802106001,92
-37.43119129,-11.26459426,280210605_2802106003,93
-36.85899309,-10.33648747,280690905_.,94
-37.4475042,-11.24356512,280210605_2802106002,95
-37.45710518,-11.28619918,280210605_2802106005,96
-37.44806635,-11.26321528,280210605_2802106004,97
-37.45061436,-11.29170709,280210605_2802106007,98
-37.44063727,-11.27218344,280210605_2802106006,99
-37.44694397,-11.27693826,280210605_2802106009,100
-37.43429262,-11.27613942,280210605_2802106008,101
-36.96886442,-10.85232163,280060505_.,102
-37.39665284,-11.2344096,280210605_.,103
-37.20986735,-10.23370244,280260105_.,104
-37.74798919,-10.38622832,280140505_.,105
-37.64323874,-10.91588315,280350005_.,106
-37.05216535,-10.78356983,280660205_2806602001,107
-37.02150182,-10.01212644,280240310_.,108
-36.93310586,-10.34198556,280380705_.,109
-37.66696446,-11.19749006,280510905_.,110
-37.41711327,-10.67742451,280290805_.,111
-37.17914776,-10.8941553,280480514_.,112
-37.12273661,-9.984733595,280240305_.,113
-36.88320084,-10.2543412,280160305_.,114
-36.91696508,-10.139599,280010005_.,115
-37.04551603,-10.58906243,280130615_.,116
-36.54541019,-10.43658526,280270005_.,117
-37.78040416,-11.25987246,280300505_.,118
-37.5275639,-10.1953,280450805_.,119
-37.28144591,-10.83596854,280480508_.,120
-37.14333748,-11.08309277,280030805_2800308045,121
-37.0334883,-10.69218818,280610705_.,122
-37.11408043,-11.07308915,280030805_2800308044,123
-37.09622359,-11.03167622,280030805_2800308047,124
-37.1406215,-11.09777919,280030805_2800308046,125
-37.10730205,-11.04404982,280030805_2800308048,126
-37.09108036,-10.4483313,280130620_.,127
-36.97934184,-10.68778517,280250205_.,128
-37.15814641,-10.89829544,280480512_2804805510,129
-37.07177544,-10.88958053,280030805_2800308034,130
-37.15408788,-10.91325591,280480512_2804805512,131
-37.07711914,-10.87347665,280030805_2800308033,132
-37.05495775,-10.94312754,280030805_2800308036,133
-37.08635552,-10.88065822,280030805_2800308035,134
-37.16988804,-10.9085976,280480512_2804805517,135
-37.06858374,-10.88351559,280030805_2800308038,136
-37.02150543,-10.90960577,280060505_2800605012,137
-37.10329394,-10.98978319,280030805_2800308037,138
-37.42915972,-10.51855538,280600805_.,139
-37.0345754,-10.91250525,280060505_2800605011,140
-37.1595445,-10.91736128,280480512_2804805519,141
-37.02730798,-10.91020345,280060505_2800605014,142
-37.15297958,-10.90369699,280480512_2804805518,143
