CO_CNES,CO_UNIDADE,CO_UF,CO_IBGE,NU_CNPJ_MANTENEDORA,NO_RAZAO_SOCIAL,NO_FANTASIA,CO_NATUREZA_ORGANIZACAO,DS_NATUREZA_ORGANIZACAO,TP_GESTAO,CO_NIVEL_HIERARQUIA,DS_NIVEL_HIERARQUIA,CO_ESFERA_ADMINISTRATIVA,DS_ESFERA_ADMINISTRATIVA,CO_ATIVIDADE,TP_UNIDADE,CO_CEP,NO_LOGRADOURO,NU_ENDERECO,NO_BAIRRO,NU_TELEFONE,NU_LATITUDE,NU_LONGITUDE,CO_TURNO_ATENDIMENTO,DS_TURNO_ATENDIMENTO,NU_CNPJ,NO_EMAIL,CO_NATUREZA_JUR,ST_CENTRO_CIRURGICO,ST_CENTRO_OBSTETRICO,ST_CENTRO_NEONATAL,ST_ATEND_HOSPITALAR,ST_SERVICO_APOIO,ST_ATEND_AMBULATORIAL,CO_MOTIVO_DESAB,CO_AMBULATORIAL_SUS,leitos
8028,3534400008028,35,353440,46523171000104.0,PREFEITURA DO MUNICIPIO DE OSASCO,HOSPITAL MUNICIPAL ANTONIO GIGLIO,,,M,,,M ,MUNICIPAL,4,5,6013070,RUA PEDRO FIORETTI,48,CENTRO,(11)2183-9333,-23.53232235,-46.77712773,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",46523171000368.0,,1244,1.0,0.0,0.0,1.0,1,1,,SIM,182
8052,3534400008052,35,353440,46374500000194.0,SECRETARIA DE ESTADO DA SAUDE DE SAO PAULO,HOSPITAL REGIONAL DR VIVALDO MARTINS SIMOES OSASCO,,,E,,,E ,ESTADUAL,4,5,6216240,RUA ARI BARROSO,355,PRESIDENTE ALTINO,(11) 3683-3077,-23.5249302,-46.77193898,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",46374500012524.0,hrofaturamentosame@gmail.com,1023,1.0,0.0,1.0,1.0,1,1,,SIM,182
8923,3547800008923,35,354780,46522942000130.0,PREFEITURA MUNICIPAL DE SANTO ANDRE,CENTRO HOSPITALAR DE SANTO ANDRE DR NEWTON DA COSTA BRANDAO,,,M,,,M ,MUNICIPAL,5,5,9030320,AVENIDA JOAO RAMALHO,326,VILA ASSUNCAO,(11) 4433-3600,-23.6659455,-46.52757351,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,,1244,1.0,0.0,0.0,1.0,1,1,,SIM,237
9539,3549900009539,35,354990,,INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA,HOSPITAL MATERNO INFANTIL ANTONINHO DA ROCHA MARMO,,,M,,,M ,MUNICIPAL,4,5,12245280,AVENIDA HEITOR VILLA LOBOS,1961,VILA RENATA,12 3797-0822,-23.2055964,-45.8856918,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",60194990000763.0,diretoria@antoninhomarmo.org.br,3999,1.0,1.0,1.0,1.0,1,1,,SIM,49
9601,3549900009601,35,354990,,INSTITUTO DAS PEQUENAS MISSIONARIAS DE MARIA IMACULADA,HOSPITAL PIO XII,,,M,,,M ,MUNICIPAL,4,5,12212110,RUA PARAGUASSU,51,SANTANA,12 39283344,-23.1631693,-45.90058335,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",60194990000682.0,"erika.zanni@hpioxii.org.br, diretoria@hpioxii.org.br",3999,1.0,0.0,0.0,1.0,1,1,,SIM,86
9628,3549900009628,35,354990,46643466000106.0,PREFEITURA MUNICIPAL DE SAO JOSE DOS CAMPOS,HOSPITAL MUNICIPAL DR JOSE DE CARVALHO FLORENCE,,,M,,,M ,MUNICIPAL,3,5,12220280,RUA SAIGIRO NAKAMURA,800,VILA INDUSTRIAL,12 39013400,-23.1806184,-45.85483411,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",,camaganha@uol.com.br,1244,1.0,1.0,1.0,1.0,1,1,,SIM,281
26417,3549900026417,35,354990,46643466000106.0,PREFEITURA MUNICIPAL DE SAO JOSE DOS CAMPOS,HOSPITAL DE CLINICAS SUL,,,M,,,M ,MUNICIPAL,4,5,12235621,PRACA NATAL,55,PARQUE INDUSTRIAL,12 39358100,-23.23799427,-45.90937614,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",46643466000530.0,"hcs05@sjc.sp.gov.br, cnes@hmtj.org.br",1244,1.0,0.0,0.0,1.0,1,1,,SIM,35
80470,3543400080470,35,354340,,HOSPITAL ESPECIALIZADO NO TRATAMENTO DE ALCOOL E DROGAS AS,HOSPITAL FUNDACAO PENTEADO RIBEIRAO PRETO,,,M,,,M ,MUNICIPAL,4,5,14095440,ANTONIO GOMES DA SILVA JUNIOR,625,PARQUE RESIDENCIAL L,16 32341290,-21.1885534,-47.761084,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",3401600000150.0,abertura.analise@gmail.com,3999,0.0,0.0,0.0,1.0,1,1,,NAO,0
81825,3507500081825,35,350750,45425899000122.0,UNIMED DE BOTUCATU COOPERATIVA DE TRABALHO MEDICO,HOSPITAL UNIMED BOTUCATU II,,,M,,,M ,MUNICIPAL,4,5,18606730,RUA EMILIO CANI,1178,VILA SANTA TEREZINHA,14 3514-0500,-22.89957325,-48.45198901,6,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)",45425899000980.0,diretoriatecnica@h.unimedbotucatu.coop.br,2143,1.0,0.0,0.0,1.0,1,1,,NAO,80
92894,3510500092894,35,351050,46374500000194.0,SECRETARIA DO ESTADO DA SAUDE DE SAO PAULO,HOSPITAL REGIONAL DO LITORAL NORTE,,,E,,,E ,ESTADUAL,4,5,11672032,RUA PRUDENCIA SANCHES FROILE MANSANO,1200,PONTAL DE SANTA MARI,12 38871058,-23.623372,-45.417158,4,"ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",46374500028609.0,secretariatecnica.hrln@isgsaude.org,1023,1.0,0.0,0.0,1.0,1,1,,SIM,176
