X,Y,MEAN_X,MEAN_Y,ID_divisao
-50.1719125865964,-20.3640702990223,-50.171912586596406,-20.364070299022298,352960905_.
-45.2106629506376,-22.8001004322606,-45.210662950637641,-22.800100432260571,351840405_.
-45.7080284218214,-23.2771819588069,-45.708028421821403,-23.277181958806928,352490705_.
-46.3672667028934,-23.9491852762589,-46.367266702893417,-23.949185276258909,354850005_3548500027
-46.376161517673,-23.9375678963038,-46.376161517672962,-23.937567896303769,354850005_3548500026
-47.8375638919652,-23.3370292477603,-47.837563891965210,-23.337029247760277,355400305_3554003029
-46.3804669057208,-23.9461420133639,-46.380466905720809,-23.946142013363939,354850005_3548500029
-47.824397023701,-23.3481961390995,-47.824397023701003,-23.348196139099503,355400305_3554003028
-46.3747877462551,-23.9471698690281,-46.374787746255059,-23.947169869028116,354850005_3548500028
-46.3388221769955,-23.9421828389328,-46.338822176995549,-23.942182838932755,354850005_3548500012
-48.9222143937233,-24.3880835994011,-48.922214393723308,-24.388083599401067,350270525_.
-50.923141849324,-22.5187764866016,-50.923141849323990,-22.518776486601617,354220610_.
-46.3478155183395,-23.9569005306421,-46.347815518339523,-23.956900530642077,354850005_3548500011
-47.8218642600273,-23.3470149266623,-47.821864260027318,-23.347014926662322,355400305_3554003025
-48.5651901640962,-21.7796411808493,-48.565190164096215,-21.779641180849325,353290005_.
-46.3258443444444,-23.9464270019042,-46.325844344444413,-23.946427001904205,354850005_3548500014
-47.8656278981494,-23.3530045270907,-47.865627898149363,-23.353004527090715,355400305_3554003024
-46.337229806129,-23.9514996002031,-46.337229806128995,-23.951499600203054,354850005_3548500013
-47.8493627353719,-23.3963321526189,-47.849362735371933,-23.396332152618854,355400305_3554003027
-47.8683481629471,-23.3583491873402,-47.868348162947143,-23.358349187340210,355400305_3554003026
-47.8747554243051,-23.3203856624184,-47.874755424305064,-23.320385662418403,355400305_3554003021
-46.3390850290191,-23.9576064195461,-46.339085029019053,-23.957606419546124,354850005_3548500010
-47.8707640286192,-23.3631901014765,-47.870764028619199,-23.363190101476530,355400305_3554003020
-47.4213159620188,-21.9980286886975,-47.421315962018781,-21.998028688697541,353930105_.
-47.8123275163985,-23.3429422952178,-47.812327516398483,-23.342942295217828,355400305_3554003023
-47.828195253652,-23.4087487020045,-47.828195253651998,-23.408748702004502,355400305_3554003022
-51.2960042566926,-21.8029725615904,-51.296004256692648,-21.802972561590408,354140610_.
-46.9659664314626,-21.7346126701433,-46.965966431462562,-21.734612670143282,352380005_.
-46.7929765741333,-23.4393311835521,-46.792976574133306,-23.439331183552117,355030803_.
-48.2989023553591,-22.9393363188445,-48.298902355359097,-22.939336318844497,350750605_3507506087
-48.4415618833245,-22.9023783686736,-48.441561883324496,-22.902378368673620,350750605_3507506086
-48.4247945818721,-22.9481053332287,-48.424794581872064,-22.948105333228710,350750605_3507506089
