CD_MUN,Ortopedia,Proctologia,Urologia
2800100,0.2202,0.04404,0.06605981126
2800209,2.0556,0.41112,0.6166782381
2800308,63.0932,12.61864,18.92790592
2800407,1.0464,0.20928,0.3139191031
2800506,1.8626,0.37252,0.5587784035
2800605,4.5175,0.9035,1.355246128
2800670,2.5007,0.50014,0.7502078565
2800704,0.8025,0.1605,0.2407493121
2801009,1.8719,0.37438,0.5615683955
2801108,0.385,0.077,0.11549967
2801207,3.3641,0.67282,1.009227116
2801306,3.2783,0.65566,0.98348719
2801405,2.0314,0.40628,0.6094182588
2801504,1.4203,0.28406,0.4260887826
2801603,0.5474,0.10948,0.1642195308
2801702,1.7594,0.35188,0.5278184919
2801900,0.3872,0.07744,0.1161596681
2802007,0.4436,0.08872,0.1330796198
2802106,6.706,1.3412,2.011794252
2802205,0.6358,0.12716,0.190739455
2802304,1.4921,0.29842,0.4476287211
2802403,1.1294,0.22588,0.3388190319
2802502,0.3118,0.06236,0.09353973274
2802601,0.591,0.1182,0.1772994934
2802700,0.8499,0.16998,0.2549692715
2802809,1.6991,0.33982,0.5097285436
2802908,10.925,2.185,3.277490636
2803005,4.223,0.8446,1.26689638
2803104,0.4816,0.09632,0.1444795872
2803203,3.6074,0.72148,1.082216908
2803302,1.6451,0.32902,0.4935285899
2803401,1.3723,0.27446,0.4116888237
2803500,10.5957,2.11914,3.178700918
2803609,2.4047,0.48094,0.7214079388
2803708,0.7048,0.14096,0.2114393959
2803807,0.3674,0.07348,0.1102196851
2803906,1.1712,0.23424,0.3513589961
2804003,1.5956,0.31912,0.4786786323
2804102,1.1297,0.22594,0.3389090317
2804201,1.4781,0.29562,0.4434287331
2804300,0.8059,0.16118,0.2417693092
2804409,1.6473,0.32946,0.494188588
2804458,0.9534,0.19068,0.2860191828
2804508,4.3686,0.87372,1.310576255
2804607,2.5569,0.51138,0.7670678084
2804706,0.6409,0.12818,0.1922694507
2804805,20.4081,4.08162,6.122412507
2804904,1.269,0.2538,0.3806989123
2805000,0.2811,0.05622,0.08432975906
2805109,0.7355,0.1471,0.2206493696
2805208,0.5759,0.11518,0.1727695064
2805307,0.8021,0.16042,0.2406293125
2805406,2.9238,0.58476,0.8771374939
2805505,2.2217,0.44434,0.6665080957
2805604,2.7348,0.54696,0.8204376559
2805703,2.7213,0.54426,0.8163876675
2805802,1.8541,0.37082,0.5562284108
2805901,0.8853,0.17706,0.2655892412
2806008,1.7365,0.3473,0.5209485116
2806107,0.9507,0.19014,0.2852091851
2806206,2.0825,0.4165,0.624748215
2806305,1.4003,0.28006,0.4200887997
2806404,0.7549,0.15098,0.2264693529
2806503,0.4049,0.08098,0.1214696529
2806602,1.1289,0.22578,0.3386690324
2806701,10.1213,2.02426,3.036381325
2806800,1.0559,0.21118,0.3167690949
2806909,0.333,0.0666,0.09989971457
2807006,0.3471,0.06942,0.1041297025
2807105,4.4503,0.89006,1.335086185
2807204,0.7981,0.15962,0.2394293159
2807303,0.3389,0.06778,0.1016697095
2807402,5.2783,1.05566,1.583485476
2807501,1.2094,0.24188,0.3628189634
2807600,2.4618,0.49236,0.7385378899
