COD_ORIGEM,COD_DESTINO,DISTANCIA_KM,CUSTO_DESLOCAMENTO
2800100,2800308,116.91,292.27
2800100,2800605,116.42,291.05
2800100,2800670,179.3,448.25
2800100,2801009,148.55,371.38
2800100,2801207,160.6,401.5
2800100,2801306,69.04,172.6
2800100,2801405,130.99,327.48
2800100,2801702,214.52,536.3
2800100,2802106,165.95,414.88
2800100,2802304,138.33,345.83
2800100,2802908,138.26,345.65
2800100,2803005,218.53,546.33
2800100,2803203,132.85,332.12
2800100,2803500,175.19,437.98
2800100,2803609,97.64,244.1
2800100,2804508,86.08,215.2
2800100,2804607,83.89,209.72
2800100,2804805,108.43,271.08
2800100,2805406,134.43,336.08
2800100,2805604,82.12,205.3
2800100,2805703,21.81,54.52
2800100,2806701,122.13,305.32
2800100,2807105,184.79,461.97
2800100,2807402,233.91,584.77
2800100,2807600,198.63,496.57
2800209,2800308,100.78,251.95
2800209,2800605,100.29,250.73
2800209,2800670,163.17,407.92
2800209,2801009,132.43,331.08
2800209,2801207,133.96,334.9
2800209,2801306,52.91,132.27
2800209,2801405,99.84,249.6
2800209,2801702,198.39,495.97
2800209,2802106,149.82,374.55
2800209,2802304,92.0,230.0
2800209,2802908,89.18,222.95
2800209,2803005,202.4,506.0
2800209,2803203,116.73,291.82
2800209,2803500,159.06,397.65
2800209,2803609,81.51,203.78
2800209,2804508,54.93,137.32
2800209,2804607,41.05,102.62
2800209,2804805,92.31,230.78
2800209,2805406,107.78,269.45
2800209,2805604,96.21,240.52
2800209,2805703,48.12,120.3
2800209,2806701,106.0,265.0
2800209,2807105,158.03,395.07
2800209,2807402,217.78,544.45
2800209,2807600,182.5,456.25
2800308,2800605,10.75,26.88
2800308,2800670,82.32,205.8
2800308,2801009,64.87,162.18
2800308,2801207,198.3,495.75
2800308,2801306,70.79,176.98
2800308,2801405,111.19,277.98
2800308,2801702,117.54,293.85
2800308,2802106,68.97,172.43
2800308,2802304,77.73,194.33
2800308,2802908,54.57,136.43
2800308,2803005,121.55,303.88
